,sentence,label
88,   Senators Concerned Service Members Suffering from Mental Illness are Not Receiving Impartial Reviews   U S  Senator Barack Obama                       Barack Obama                                                                          Senators Concerned Service Members Suffering from Mental Illness are Not Receiving Impartial Reviews Friday  December 14  2007  FOR IMMEDIATE RELEASE              Contact  Natalie Ravitz  Boxer   Shana Marchio  Bond   Michael Ortiz  Obama   or Liz Richardson  Kerry   Case of Lt  Whiteside illustrates the need to review DoD policy Washington  D C    U S  Senators Barbara Boxer  D CA   Kit Bond  R MO   Barack Obama   D IL  and John Kerry  D MA  today sent the following letter to Defense Secretary Robert Gates    December 14  2007 The Honorable Robert Gates   Secretary of Defense   1000 Defense Pentagon   Washington  DC 20301  Dear Secretary Gates   We are concerned over reports that members of our Armed Forces with underlying mental health conditions are not receiving balanced  fair  and impartial reviews when facing judicial punishment and administrative discharge for engaging in misconduct that could be related to their conditions   We understand and support the necessity of maintaining good order and discipline in the military  At the same time  we are concerned that the decision to prosecute a service member with serious mental health issues may  in some cases  be carried out without appropriate consideration of recommendations made by uniformed mental health providers  As such  we ask you to promptly review guidelines for the administrative handling of such complex cases    On December 2  2007  The Washington Post ran a story entitled    A Soldier   s Officer    that clearly illustrates our concerns  The piece details the ordeal of Army First Lieutenant Elizabeth Whiteside  who according to available reports  served honorably at both Water Reed Army Medical Center  WRAMC  and in Iraq before experiencing severe mental health symptoms and attempting suicide  During her apparent suicide attempt  Lt  Whiteside threatened a number of her fellow service members  and as a result  we understand the Army is currently deciding whether to pursue a court martial against her    What we find particularly troubling about this case is that military commanders with no medical training derided the documented medical opinions as to Lt  Whiteside   s mental condition and their bearing on the case  Colonel Terrence J  McKenrick  commander of the Warrior Transition Brigade at Walter Reed  charged that even though medical professionals had determined Lt  Whiteside had a    severe mental disease or defect  she knowingly assaulted and threatened others and injured herself     Another commander wrote that Lt  Whiteside   s    defense that she suffers from a mental disease excusing her actions is just that   an excuse  an excuse to distract from choices and decisions made by Lt  Whiteside     These statements are contrary to the apparent recommendations of Lt  Whiteside   s battalion commander in Iraq that disciplinary actions not be taken  and show a callous disregard for the diagnosis of qualified psychiatrists at WRAMC  who found that Lt  Whiteside suffered from a    severe major depressive disorder and a personality disorder    and    disassociation with reality      We believe that service members should be held accountable for their actions  and we recognize that the Manual for Courts Martial provides procedures for handling mental health issues in judicial proceedings  However  this case highlights the need for the Department to review its administrative procedures and training programs to ensure that commanders give full and fair consideration of the recommendations made by trained mental health providers before initiating disciplinary actions against soldiers suffering from mental diseases   Additionally  as Senators who have worked extensively to improve mental health care services for our armed forces  we find it unacceptable that officers with no medical training   who are required by law to protect the impartiality of the military justice process   would make dismissive statements regarding Lt  Whiteside   s mental health condition  These comments only undermine respect for the mental health profession and increase the stigma associated with seeking mental health care   According to the Congressionally mandated report of the Department of Defense Task Force on Mental Health     every military leader bears responsibility for addressing stigma  leaders who fail to do so reduce the effectiveness of the service members they lead     The Department is best served by ending policies that discriminate against service members who suffer from mental health problems and working to eliminate the stigma that prevents too many from seeking care  That is why we strongly urge you to ensure that the recommendations of qualified medical professionals play a clearly defined and important role in proceedings to discharge or punish any service member with an underlying mental health condition    Thank you for your consideration of this important request     Sincerely    Barbara Boxer                                             United States Senator                                    Christopher S  Bond  United States Senator   Barack Obama                                              United States Senator                                    John F  Kerry    United States Senator                                        Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
570,   Obama Statement on Drastic Funding Cuts for Criminal Justice Program in Illinois   U S  Senator Barack Obama                       Barack Obama                  Washington D C  Office SDB 40B Dirksen Senate Office Building   temporary location until April 19th                                                         Obama Statement on Drastic Funding Cuts for Criminal Justice Program in Illinois Thursday  April  3  2008  FOR IMMEDIATE RELEASE                                              CONTACT  Michael Ortiz  202 228 5566 Obama cosponsored legislation in 2005 to restore grant funding WASHINGTON  D C    U S  Senator Barack Obama  D IL  joined a bipartisan coalition of senators in calling on the Senate Appropriations Committee to fully fund the Edward Byrne Justice Assistance Grant  Byrne JAG  Program in this year s Supplemental Appropriations bill   For more than two decades  the Byrne JAG program has provided funding each year for nearly 4 000 state and local law enforcement officials to help make communities safer and improve criminal justice programs    Last year  the Senate approved  660 million in the Fiscal Year 2008 Budget for this program   However  facing a veto threat from the President  this critical funding was reduced to  170 million in the Omnibus Appropriations package     Keeping our communities safe and ensuring that our justice system is fair and effective are top priorities for me in Illinois and throughout the country   said Senator Obama    Since I first met with local law enforcement officials in Alton in 2005 to discuss the growing threats posed to our neighborhoods by meth production and addiction  I have consistently demanded that the President increase funding for the Byrne program   Nearly three years after I joined to introduce legislation to restore this funding  the President has once again slashed these funds   This is unacceptable  and I will work with my colleagues to restore this funding as soon as possible    Since 2005  Senator Obama has urged his Senate colleagues and the President to increase funding for this program  In August of that year  Obama met with nearly a dozen local law enforcement officials and prosecutors at the Alton Law Enforcement Center in Madison County to hear first hand accounts of their experience with problems caused by meth use and production   These officers and prosecutors primarily expressed their concerns about the negative impact these funding cuts would have on drug investigations  particularly relating to meth  throughout the state   After hearing these concerns  Obama returned to Washington and joined several of his colleagues to introduce legislation to save the Byrne JAG program    The text of the letter is below  Dear Chairman Byrd and Senator Cochran  Restoration of severe cuts made to the Edward Byrne Justice Grant  Byrne JAG  program through last year s omnibus appropriations bill is vital to avoid law enforcement layoffs and suspension of hundreds of anti drug  gang and violent offender efforts across the country   Therefore  we respectfully request that you provide  489 6 million for the Edward Byrne Justice Assistance Grant  Byrne JAG  program in any Supplemental Appropriations bill that comes before the Senate   This addition would restore Byrne JAG funding to the same level previously approved by the Senate in the Commerce Justice Science  CJS  Appropriations bill for fiscal year 2008  FY 2008   The Byrne Formula Grant Program is a tried and tested program that has served us well for more than two decades   The program s broad based support was verified in the Senate s passage last year of S 231  the Feinstein Chambliss Byrne JAG Reauthorization Act  which would extend this  1 095 bill authorization through 2012   The bill received 52 co sponsors and passed the Senate by unanimous consent   As you know  the Senate approved CJS Appropriations bill for FY2008 would have funded Byrne JAG at  660 million   Following a veto threat  however  difficult choices had to be made in conference  and in the Omnibus Appropriations bill that ultimately passed  Byrne JAG funding for FY2008 was reduced to only  170 4 million   This figure represented more than a 2 3 drop from Byrne JAG s actual appropriated levels in FY2007  In the wake of these drastic cuts  various law enforcement agencies  as well as numerous police and sheriff s offices  have notified us that these FY2008 Byrne JAG cuts will have a devastating effect on law enforcement  forcing them to possibly close multi jurisdictional drug and gang task forces  and negatively affecting a variety of other crime control programs   Particularly at a time when a risk of adverse economic conditions may lead to increased crime  it is vitally important that we support our nation s finest in their efforts on the front lines  where they risk their lives daily keeping Americans safe  Unless these Byrne JAG funds are restored promptly  law enforcement agencies may be forced to dismantle multi jurisdiction task forces that often took years to create and develop   And individual officers serving on those task force members will face a loss of income or even their jobs  some of which have been held for years  Each year  Byrne JAG dollars fund over 4 000 police officers and prosecutors working on over 750 drug enforcement task forces in all 50 states across hundreds of urban and rural countries and cities   On an annual basis  Byrne JAG funding leads to over 220 000 arrests  54 000 weapons seized  the seizure of 5 5 million grams of methamphetamine  and the breakup of almost 9 000 methamphetamine labs   These successes show that we need to continue what we are doing  not cut back  Funding for Byrne JAG  at its  1 095 billion authorized level  has long been supported by America s leading law enforcement organizations  including the National Narcotic Officers  Associations  Coalition  National Sheriffs  Association  National Association of Counties  National Association of State Alcohol and Drug Abuse Directors  Legal Action Center  National District Attorneys  Association  National HIDTA Directors Association  International Association of Chiefs of Police  Major County Sheriffs Association  National Criminal Justice Association  National Alliance of State Drug Enforcement Agencies  Major City Chiefs Association  National Troopers Coalition  State Association of Addiction Services  the National Crime Prevention Council and the Fraternal Order of Police  There is strong bipartisan support for the Byrne JAG Program  and we urge you to provide this critically needed funding in any supplemental appropriations bill that comes before the Senate this year                                Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
1265,February 16  2007 Schumer  Clinton  King  Israel  HHS Interpretation of Ryan White Funding Act Dead Wrong   Unfairly Slashes Money for Vital Services for Long Island Patients                                                                                                                                                                                                                                                         Under New Ryan White Modernization Act  HHS Erroneously Slashing Nassau Suffolk Title I HIV AIDS Funding Because of a Misinterpretation of Legislative Language   With Funding Drying Up  Long Island HIV AIDS Patients are in Danger of Losing Money for Vital Care and Services   Schumer  Clinton  King and Israel Demand Explanation and a Repeal of HHS Decision                      Washington  DC   With thousands of Long Island residents living with HIV and AIDS in jeopardy of losing vital health care and support services provided by Ryan White funding due to a flawed ruling by the Department of Health and Human Service  HHS   today  U S  Senators Charles E  Schumer and Hilary Rodham Clinton and U S  Representatives Peter King and Steve Israel demanded an immediate explanation on how to repeal the decision  HHS recently ruled that the Nassau Suffolk region no longer qualifies as an Eligible Metropolitan Area  EMA  under the recently reauthorized Ryan White HIV AIDS Treatment Modernization Act of 2006           Schumer  Clinton  King and Israel today argued that HHS misinterpreted the legislative language of the reauthorization  and that  in fact  Nassau Suffolk region does qualify as an EMA  They also demanded that HHS provide an immediate explanation on how to repeal its decision so that Long Islanders living with HIV AIDS don t lose critical services provided in part through Ryan White CARE monies            I am both baffled and dismayed by HHS  recent decision stating that the Nassau Suffolk region no longer qualifies for EMA funding   said Senator Schumer   Because of its misinterpretation  thousands of Long Island residents living with HIV AIDS could end up seeing their essential health related services cut  We re prepared to fight tooth and nail to repeal this flawed decision            I am extremely disappointed in the way in which the Department of Health and Human Services is implementing the recently reauthorized Ryan White CARE Act  We fought for so long to keep these critical funds coming to Nassau and Suffolk counties and to have the Department go against the letter of the law like this is particularly distressing  The new legislation should have ensured that areas like Long Island can continue to receive necessary Ryan White funds  The Administration s failure to apply this definition to the Nassau Suffolk EMA is extremely concerning and I will be calling on the Department of Health and Human Services once again to keep their side of the bargain and recognize the clear need in this region   Senator Clinton said            It is essential that Long Islander s continue to receive the vital care and services provided under this Act   said Congressman King   I will continue to fight to make sure that a simple misinterpretation of language does not jeopardize the lives of my constituents in any way   This is not a matter of semantics  it is a matter of life and death to thousands of people across Long Island            With over 3 200 Long Islanders living with AIDS  now is not the time to cut critical Ryan White funding   said Congressman Israel   Long Island should be praised for its efforts in preventing the spread of AIDS  not punished            We believe that the federal government has misinterpreted the new law to the detriment of Nassau and Suffolk Counties   said Nassau County Executive Thomas R  Suozzi   We are currently reviewing all of our options including litigation  Our low income  uninsured and under insured people living with HIV AIDS depend on the treatment and support services provided through the Ryan White CARE Act  and any decline in the level of funding we receive will greatly affect these programs            It is essential that this critical funding continue as more than three thousand people in Nassau and Suffolk depend on it for essential medical treatment and supportive care   said Suffolk County Executive Steve Levy Adding a second  more restrictive criteria  impacts not only those presently infected but will deny care to newly infected individuals  We thank Congress members Schumer  Clinton  King and Israel for their quick action and their determination to protect our region s interest in the area of funding for care for persons with HIV and AIDS            The Nassau County Executive was recently notified by HHS that the Nassau Suffolk region no longer qualifies as an EMA under the recently reauthorized Ryan White HIV AIDS Treatment Modernization Act of 2006  The decision to discontinue the Nassau Suffolk region s eligibility as an EMA would devastate the HIV AIDS infrastructure Nassau Suffolk has carefully constructed to care for individuals with HIV AIDS            Under HHS  interpretation of the newly reauthorized Ryan White CARE Act  altered to address underfunded areas of the country  a community must have both 2 000 new AIDS cases over the last five years as well as 3 000 living AIDS cases as reported by the Center for Disease Control and Prevention  CDC  data in the most recently reported calendar year  While Long Island meets the requirement for living AIDS cases in the most recently reported CDC data  it falls short of the second requirement  cases going back five years  with only 1 505 newly diagnosed cases for 2001 2005          Today  Schumer  Clinton  King and Israel called for a repeal of the decision  arguing that according to the reauthorization s legislative language  the Nassau Suffolk region only has to meet one of the two requirements to qualify as an EMA  While it does not meet the requirement for newly diagnosed AIDS cases over the last five years  it does meet the requirement of having a total of more than 3 000 living AIDS cases in the most recently reported CDC data  In a February 7th letter sent to HHS  the Senators and Congressmen argued that EMA eligibility is only lost when an area fails to meet both of the above requirements  Today  they also stated that it has been well established that where the conjunctive term  and  is used in statute  the legislative intent is that all of the requirements of statute must be fulfilled   Therefore  the Senators and Congressmen believe that the language of the Act leaves no room for the interpretation that Department of Health and Human Services has reached           ,0
1812,"SEN. SANDERS CALLS BUSH VETO ON IRAQ 'GRAVE ERROR'
  Congress formally sent President Bush a bill setting a timeline for withdrawing American troops from Iraq that Bush vowed to veto.  
   ""President Bush is making a grave error in vetoing this legislation,"" Senator Bernie Sanders said. 
   ""The people of America have made it very clear that they want our government to move in a very different direction, and all Bush is doing is escalating and increasing mistakes he has made over the past four years,"" Sanders added. 
   The death toll for the multinational coalition last month stood at 117, making April the deadliest month of combat casualties in more than two years. 
   ""I find it incredible that Bush would veto the supplemental spending bill, which calls for a timeline of troop withdrawal, at exactly the same time when more coalition troops were lost in one month in Iraq than in any month for two years,"" Sanders said. 
   Sanders also noted a new report by the U.S. State Department that said terrorist attacks mounted in the past year. 
   Terrorist attacks against noncombatants nearly doubled in Iraq and rose sharply in Afghanistan. Worldwide, there was a 29 percent increase in terrorism worldwide, according to a report released Monday by the State Department, but terrorist attacks rose 91 percent in Iraq and 53 percent in Afghanistan, according to the report posted Monday on the State Department's Web site. 
   ""The idea of continuing down a path which results in more and more deaths in Iraq and more and more terrorism makes no sense at all,"" Sanders said. ""We need to bring our troops home as soon as possible, and develop a new approach to combating international terrorism."" 
   The $124.2 billion funding bill would require troops to begin leaving Iraq in October. It sets a goal of full withdrawal by spring of 2008.
 
 ",0
71,   Durbin  Obama Applaud President for Federal Snow Assistance    U S  Senator Barack Obama                       Barack Obama                  Washington D C  Office SDB 40B Dirksen Senate Office Building   temporary location until April 19th                                                         Durbin  Obama Applaud President for Federal Snow Assistance  Thursday  March 13  2008  FOR IMMEDIATE RELEASE    Contact  Christina Mulka  Durbin  or Michael Ortiz  Obama     WASHINGTON  DC   U S  Senators Dick Durbin  D IL  and Barack Obama  D IL  today applauded the decision by President Bush to declare seven Illinois counties   Boone  Carroll  Jo Daviess  Lake  McHenry  Stephenson and Winnebago   federal snow emergency areas   Last month  Representatives Melissa Bean  D IL   Mark Kirk  R IL  and Don Manzullo  R IL  joined Durbin and Obama in sending a letter to President Bush in support of Governor Blagojevich s request for assistance     I applaud this quick decision to provide federal assistance   said Durbin    Resources in communities throughout Illinois have been stretched to the limit this winter   I hope that with this funding they will now have the opportunity to fully recover from the storms    The families and businesses in these counties deserve our assistance in rebuilding after these damaging winter storms   said Senator Obama    I commend the President s decision to provide these residents access to federal grants and loans  and I will work with Senator Durbin and the Illinois delegation to ensure these communities can recover as quickly as possible   Governmental bodies in the affected counties would be eligible for reimbursement of 75 percent of overtime labor costs for snow removal during a 48 hour period  as well as overtime costs for emergency personnel directly related to the snow removal efforts   Governor Blagojevich declared the seven counties in northern Illinois state disaster areas as a result of heavy snowfall this month that resulted in road closures  school closings  hazardous road conditions  and the depletion of state and local snow removal resources                                   Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
785,December 11  2007 Statement of Senator Hillary Rodham Clinton on New Department of Labor Reporting Requirements                                                                                                                                                                                                                                                                                                                     Washington  DC  Senator Hillary Rodham Clinton today issued the following statement following reports that the Bush administration is moving forward with plans to impose costly and unjustified new reporting requirements on unions and union members      Once again  President Bush is using the Department of Labor as a weapon to undermine the labor movement   Under the new rules  tens of thousands of union members will be forced  without justification  to navigate a bureaucratic maze of financial disclosure forms and meet onerous reporting requirements about information as private as their personal mortgages and loans   The information will then be publicly released on the internet   The Bush Administrations goal is harassment  plain and simple   We have a duty to hold President Bush accountable for this ideological abuse of power and to restore a Department of Labor that is actually pro labor    The new requirements will significantly expand the number of individuals who must file reports with the federal government and the amount of information they will be required to submit   Among the new rules is one that would require tens of thousands of union members and their families to research whether the banks that hold their mortgages and loans do business with their union or a company represented by the union   These members would then be required to submit personal financial information about the mortgages and loans to the Department of Labor  which would post that information on a public web site   The Center for American Progress issued a report this week that describes the administrations efforts to use the Office of Labor Management Standards in the Department of Labor to undermine unions for political purposes  most recently through the new reporting rules         ,0
389,   Obama Statement on Dream Act   U S  Senator Barack Obama                       Barack Obama                                                                             Obama Statement on Dream Act Wednesday  October 24  2007  FOR IMMEDIATE RELEASE                                  CONTACT  Amy Brundage  202 228 5511  WASHINGTON  D C      U S  Senator Barack Obama  D IL  today released the following statement on the Senate   s failure to move forward to consider the DREAM Act  S 2205   which would provide undocumented children the opportunity to pursue higher education or serve in our military  and eventually become legalized citizens     We need comprehensive immigration reform in this country     reform that promotes our national and economic security and creates a pathway to earned citizenship for the 12 million undocumented immigrants in this country   We should not punish undocumented children who were brought to this country illegally through no choice of their own by keeping them in the shadows   The DREAM Act would have given these young people the opportunity to earn a degree or serve in our military  and eventually become legalized citizens   Failing to pass the DREAM Act only compounds the immigration crisis by continuing to drive thousands of young people every year into hiding     Today is another missed opportunity in the battle to solve the immigration crisis in this country   The immigration debate has been wrought with the politics of division and fear  and been exploited by some politicians  blocking the real reform we need   Today s vote proves that we need to do more to transcend these divisions     especially to provide solutions to help the most vulnerable in our society   I will continue to work with Senators Durbin  Hagel  Lugar and Kennedy on this issue  and will fight to bring this legislation back for another vote as soon as possible                                       ,1
196,   Obama Statement on Indian Health Care Improvement Act   U S  Senator Barack Obama                       Barack Obama                                                                            Obama Statement on Indian Health Care Improvement Act Wednesday  September 12  2007  FOR IMMEDIATE RELEASE  CONTACT  Amy Brundage  202 228 5511   WASHINGTON  D C      Today  U S  Senator Barack Obama  D IL  made the following statement on the Medicare  Medicaid and SCHIP Indian Health Care Improvement Act of 2007  which passed out of the Senate Finance Committee today     For more than 14 years  Congress has failed to reauthorize the Indian Health Care Improvement Act and complete a comprehensive review and modernization of Native American health care   This is simply unacceptable     As infant mortality and suicide rates escalate and more and more Native Americans suffer from debilitating diseases like diabetes  modernizing and improving Native American health care could not come at a more urgent time     While the U S  government has a responsibility to provide health care stemming from treaty obligations  it is also this country s moral imperative to address the significant health care disparities between the Native American population and the American population as a whole   We must ensure our tribal health care programs are adequately prepared to provide preventative health care as well as treatment for substance and alcohol abuse  domestic violence  and mental health issues   Native Americans also deserve the same high quality health care professionals that care for families throughout the country     With 21st century health care challenges  it s inconceivable that Native Americans are receiving 20th century solutions   This Congress has a unique opportunity to make this bill law   I am proud to cosponsor this bill and I strongly urge its swift passage in the Senate                                     ,1
1414,May 17  2006 Statement of Senator Hillary Rodham Clinton on the Suspension of the WHTI Program                                                                                                                                                                                                                                                                                                                                 I am pleased that the Senate voted to suspend implementation of the Western Hemisphere Travel Initiative for an additional 17 months   There is tremendous concern among New Yorkers and all Americans living along the U S  Canada border that the WHTI  s identification requirement would not only devastate the tourism and retail industry  but also greatly disrupts life on both sides of the U S  Canadian border           ,0
78,   Obama  McCaskill  Planned Parenthood Fight to Increase Access to Affordable Contraception for Low Income Women  College Students   U S  Senator Barack Obama                       Barack Obama                                                                             Obama  McCaskill  Planned Parenthood Fight to Increase Access to Affordable Contraception for Low Income Women  College Students Tuesday  November 13  2007  FOR IMMEDIATE RELEASE                       CONTACT  Amy Brundage  Obama   Adrianne Marsh  McCaskill   or Tait Sye  Planned Parenthood  WASHINGTON  D C      U S  Senator Barack Obama  D IL  today was joined by Senator Claire McCaskill  D MO  to introduce the Prevention Through Affordable Access Act  which would allow drug manufacturers to offer deeply discounted contraceptives to clinics serving low income women and college students   The legislation is supported by Planned Parenthood Federation of America  Since 1990  Congress has permitted pharmaceutical companies to offer reduced priced drugs to certain health care providers to help ensure that lower income individuals have access to affordable prescription drugs  However  a provision included in the Deficit Reduction Act of 2005  DRA  unintentionally disallowed every college and university health clinic and hundreds of other safety net providers from accessing these discounted drugs  This legislation will fix this unintended change and allow drug companies to once again offer these discounted drugs   The Prevention Through Affordable Access Act is co sponsored by Senator Edward Kennedy  chairman of the Senate Health  Education  Labor  and Pensions Committee  as well as Senators Patty Murray  Tom Harkin  John Kerry  Jeff Bingaman  Ron Wyden  Debbie Stabenow  Dianne Feinstein  Chuck Schumer  Hillary Clinton  Patrick Leahy  Amy Klobuchar  Sherrod Brown  Susan Collins  Barbara Boxer and Robert Menendez  Representative Joseph Crowley  D NY  introduced companion legislation in the House       We must do more to help low income women and college students access affordable contraceptive drugs     Senator Obama said      No woman should be turned away from university clinics and health centers because the cost of prescription drugs is out of reach   Access to contraceptives is essential to lowering the rate of unintended pregnancies in this country  and we need to make sure these drugs are affordable and accessible   I thank Planned Parenthood and this bill   s co sponsors for supporting this common sense and necessary legislation        Everyone wants to bring down the number of unintended pregnancies in this country  Part of the way we achieve that goal is to continue providing affordable contraceptives to low income women and college students     Senator McCaskill said     I applaud the drug companies for being willing to do the right thing by providing contraception at reduced prices        I applaud Senator Obama and Senator McCaskill for putting women s health first and introducing The Prevention Through Affordable Access Act   said Planned Parenthood President Cecile Richards    This bill is win win   Access to affordable birth control is something Democrats and Republicans agree on   It is mainstream  pro prevention  pro women s health legislation   And it won t cost the taxpayers a dime     The DRA went into effect January 1  2007  and in just a matter of months the average price of birth control on college campuses has increased from  5 or  10 to  40 or  50  As a result  many college health clinics have stopped providing birth control because they can no longer afford to do so    The consequences of maintaining the DRA   s unintended restrictions on college clinics and safety net facilities are grave     increasing the likelihood of unintended pregnancies among college students and low income women  This legislation would make a technical fix and restore safety net and university clinics    ability to access low cost contraceptives  This legislation does not involve any government funding  it would simply restore drug manufacturers    ability to offer deeply discounted prices to safety net health care providers                                 Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
473,   Obama Statement on the Marion VA Medical Center Reports   U S  Senator Barack Obama                       Barack Obama                  Washington D C  Office SDB 40B Dirksen Senate Office Building   temporary location until April 19th                                                         Obama Statement on the Marion VA Medical Center Reports Monday  January 28  2008  FOR IMMEDIATE RELEASE                                              CONTACT  Michael Ortiz  202 228 5566 WASHINGTON  D C    U S  Senator Barack Obama  D IL  today released the following statement after the publication of two reports by the Department of Veterans Affairs  inspector general and the Veterans Health Administration s medical examiner on unexpected deaths at the Marion VA Medical Center   Our veterans should expect nothing less than world class care and treatment at our nation s veterans  facilities   I remain deeply concerned over the unacceptable breakdown that led to these tragic deaths and substandard care at the Marion VA Medical Center   These investigations have provided new information about failures in leadership and quality control   However  the VA must provide stronger assurances that these problems aren t occurring elsewhere  and that it has a plan to help the families who have lost loved ones    I will continue working with Senator Durbin and the Veterans  Affairs Committee to ensure that the VA adds the necessary safeguards and thoroughly reviews its standards at other facilities throughout the country                                  Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
1731,"SEN. SANDERS TO OPPOSE SURGEON GENERAL NOMINEE
  Senator Bernie Sanders announced that he would vote against confirmation of President Bush's nominee for surgeon general because he is unconvinced that Dr. James W. Holsinger would withstand pressure from White House political operatives who muzzled the last surgeon general. 
   Sanders, a member of the Senate Health, Education, Labor and Pensions Committee, announced his decision after a confirmation hearing. Holsinger was questioned about his independence in light of revelations earlier this week that Dr. Richard Carmona, whose term expired in July, was silenced by the Bush administration on embryonic stem cell research, mental health care, smoking and other health issues. He also was ordered to insert President Bush's name at least three times on each page of his speeches, a demand Sanders called ""outrageous.""
   Sanders said: ""At a time when the administration muzzled the previous surgeon general, censored his remarks, controlled his travel, and - unbelievably - told him how many times in a page he had to mention President Bush, we need a surgeon general who is prepared to stand up to an extremely ideological administration and resist that pressure. We need a surgeon general who will stand up for the scientific and medical needs of the American people. While I was impressed by his intelligence and with some of his positions on issues, I simply do not believe that Dr. Holsinger is the right person for this important position at this moment in American history.""
   To listen to Sanders question Holsinger, visit http://www.sanders.senate.gov/news/record.cfm?id=278898.
   To read The New York Times editorial Sanders cited on White House meddling with the surgeon general, visit http://www.sanders.senate.gov/news/record.cfm?id=278894.
 
 ",0
1591,July 19  2005 Clinton Praises BRAC Commission For Reconsidering  DFAS Recommendations                                                                                                                                                                                                                                                                                                                                          Senator Clinton Presses BRAC Commission Members on Rome                                                                                                                                                                                                                                                                                                                                                          Washington  DC    Senator Hillary Rodham Clinton welcomed news that the Base Realignment and Closure  BRAC  Commission will be revisiting its recommendations concerning the Department of Defense  s Defense Finance and Accounting Service  DFAS            I am very encouraged to hear that the BRAC Commission voted today to revisit the DFAS recommendations  I think this demonstrates that the Commission is taking our arguments in support of the Rome DFAS facilities seriously  I will continue to work hard to ensure that the Commission considers the strong arguments in favor of Rome  s installations     Senator Clinton said        As they prepared for a hearing with Pentagon officials  Senator Clinton took the opportunity today to actively urge members of the Commission to reconsider their recommendations regarding the facilities in Rome  Prior to the hearing  Senator Clinton met each Commissioner to raise her strong objections to their closure        I was pleased to have the opportunity to meet each of the BRAC Commissioners today and to remind them of the critical role that these facilities play in our national defense  I was particularly impressed with their awareness of the Rome DFAS facility           In addition to testifying before the BRAC Commission regional hearing in Buffalo  Senator Clinton has now spoken to every BRAC Commissioner to make the case for Rome facilities      The BRAC Commission hearing was held in the Dirksen Senate building today          ,0
